Country,State,PortCode,PortName,,
   236 =  'AFGHANISTAN','AL'='ALABAMA','ALC',"'ALCAN, AK             '",,
   101 =  'ALBANIA','AK'='ALASKA',   'ANC',"'ANCHORAGE, AK         '",,
   316 =  'ALGERIA','AZ'='ARIZONA',   'BAR',"'BAKER AAF - BAKER ISLAND, AK'",,
   102 =  'ANDORRA','AR'='ARKANSAS',   'DAC',"'DALTONS CACHE, AK     '",,
   324 =  'ANGOLA','CA'='CALIFORNIA',   'PIZ',"'DEW STATION PT LAY DEW, AK'",,
   529 =  'ANGUILLA','CO'='COLORADO',   'DTH',"'DUTCH HARBOR, AK      '",,
   518 =  'ANTIGUA-BARBUDA','CT'='CONNECTICUT',   'EGL',"'EAGLE, AK             '",,
   687 =  'ARGENTINA ','DE'='DELAWARE',   'FRB',"'FAIRBANKS, AK         '",,
   151 =  'ARMENIA','DC'='DIST. OF COLUMBIA',   'HOM',"'HOMER, AK             '           ",,
   532 =  'ARUBA','FL'='FLORIDA',   'HYD',"'HYDER, AK             '",,
   438 =  'AUSTRALIA','GA'='GEORGIA',   'JUN',"'JUNEAU, AK            '",,
   103 =  'AUSTRIA','GU'='GUAM',   '5KE',"'KETCHIKAN, AK'",,
   152 =  'AZERBAIJAN','HI'='HAWAII',   'KET',"'KETCHIKAN, AK         '",,
   512 =  'BAHAMAS','ID'='IDAHO',   'MOS',"'MOSES POINT INTERMEDIATE, AK'",,
   298 =  'BAHRAIN','IL'='ILLINOIS',   'NIK',"'NIKISKI, AK           '",,
   274 =  'BANGLADESH','IN'='INDIANA',   'NOM',"'NOM, AK               '",,
   513 =  'BARBADOS','IA'='IOWA',   'PKC',"'POKER CREEK, AK       '",,
   104 =  'BELGIUM','KS'='KANSAS',   'ORI',"'PORT LIONS SPB, AK'",,
   581 =  'BELIZE','KY'='KENTUCKY',   'SKA',"'SKAGWAY, AK           '",,
   386 =  'BENIN','LA'='LOUISIANA',   'SNP',"'ST. PAUL ISLAND, AK'",,
   509 =  'BERMUDA','ME'='MAINE',   'TKI',"'TOKEEN, AK'",,
   153 =  'BELARUS','MD'='MARYLAND',   'WRA',"'WRANGELL, AK          '",,
   242 =  'BHUTAN','MA'='MASSACHUSETTS',   'HSV',"'MADISON COUNTY - HUNTSVILLE, AL'",,
   688 =  'BOLIVIA','MI'='MICHIGAN',   'MOB',"'MOBILE, AL            '",,
"   717 =  'BONAIRE, ST EUSTATIUS, SABA' ",'MN'='MINNESOTA',   'LIA',"'LITTLE ROCK, AR (BPS)'",,
   164 =  'BOSNIA-HERZEGOVINA','MS'='MISSISSIPPI',   'ROG',"'ROGERS ARPT, AR'",,
   336 =  'BOTSWANA','MO'='MISSOURI',   'DOU',"'DOUGLAS, AZ           '",,
